naics_desc,Employment,abs_emp_num,abs_emp_diff,Firms,abs_firm_num,abs_firm_diff,Payroll,abs_payroll_usd_amt,abs_payroll_diff,Receipts,abs_rcpt_usd_amt,abs_receipts_diff,Employment (QCEW),qcew_ann_avg_emp_lvl_num,qcew_emp_diff,dashboard_qcew_wage,qcew_avg_annual_wage,qcew_wage_diff
Health Care and Social Assistance,17636,17636,0,728,728,0,1161527000,1161527000.0,0.0,53569667448000,53569667448000.0,0.0,64195,64195,0,62453.97495132,62454.08,-0.10504868000134593
Retail Trade,11302,11302,0,624,624,0,397262000,397262000.0,0.0,43243689796000,43243689796000.0,0.0,52744,52744,0,40399.21951312,40399.32,-0.10048688000097172
Accommodation and Food Services,6941,6941,0,523,523,0,172226000,172226000.0,0.0,3799142468000,3799142468000.0,0.0,56398,56398,0,30302.057768006,30301.96,0.09776800600229762
Manufacturing,4992,4992,0,330,330,0,344017000,344017000.0,0.0,8418443904000,8418443904000.0,0.0,26643,26643,0,76590.740119356,76590.8,-0.05988064399571158
"Professional, Scientific, and Technical Services",4975,4975,0,942,942,0,417496000,417496000.0,0.0,5144756950000,5144756950000.0,0.0,22372,22372,0,95978.593241552,95978.48,0.11324155199690722
Construction,4777,4777,0,934,934,0,328617000,328617000.0,0.0,7426214329000,7426214329000.0,0.0,22614,22614,0,70036.0336075,70036.2,-0.1663925000029849
Administrative and Support and Waste Management and Remediation Services,3267,3267,0,287,287,0,169053000,169053000.0,0.0,1407031560000,1407031560000.0,0.0,23386,23386,0,57844.784101599,57844.8,-0.01589840100496076
Other Services (except Public Administration),2648,2648,0,352,352,0,100698000,100698000.0,0.0,736392912000,736392912000.0,0.0,20576,20576,0,46942.55316874,46942.48,0.07316873999661766
Finance and Insurance,2300,2300,0,166,166,0,209452000,209452000.0,0.0,5900702900000,5900702900000.0,0.0,6502,6502,0,102197.05398339,102197.16,-0.1060166100069182
"Arts, Entertainment, and Recreation",2264,2264,0,105,105,0,82302000,82302000.0,0.0,563416776000,563416776000.0,0.0,8295,8295,0,29144.282941531,29144.440000000002,-0.15705846900164033
Educational Services,1848,1848,0,147,147,0,74072000,74072000.0,0.0,305043816000,305043816000.0,0.0,8555,8555,0,47754.214728229,47754.200000000004,0.014728228998137638
Management of Companies and Enterprises,1672,1672,0,26,26,0,244080000,244080000.0,0.0,19079192000,19079192000.0,0.0,4948,4948,0,218204.981406629,218205.0,-0.01859337100177072
Real Estate and Rental and Leasing,1505,1505,0,349,349,0,74507000,74507000.0,0.0,622695255000,622695255000.0,0.0,6639,6639,0,59597.1206507,59597.2,-0.07934929999464657
Transportation and Warehousing,1441,1441,0,115,115,0,59545000,59545000.0,0.0,410254141000,410254141000.0,0.0,8535,8535,0,52447.486584651,52447.72,-0.2334153490010067
Information,747,747,0,71,71,0,71338000,71338000.0,0.0,246084957000,246084957000.0,0.0,1911,1911,0,81187.590266876,81187.59999999999,-0.009733123995829374
Utilities,211,211,0,28,28,0,29140000,29140000.0,0.0,20473752000,20473752000.0,0.0,485,485,0,143522.307216495,143522.08,0.22721649502636865
"Mining, Quarrying, and Oil and Gas Extraction",39,39,0,5,5,0,2075000,2075000.0,0.0,401037000,401037000.0,0.0,24,24,0,82093.5,82093.44,0.059999999997671694
Wholesale Trade,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,14903,14903,0,82674.50922633,82674.28,0.2292263300041668
"Agriculture, Forestry, Fishing and Hunting",0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,30313,30313,0,44696.958334708,44697.119999999995,-0.16166529199836077
